addr1,addr2,zipcode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,eventstartdate,eventenddate,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,areacode,sigungucode,tel,title,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3,progresstype,festivaltype,overview
서울특별시 강서구 금낭화로 178 (방화동),방화근린공원,7508.0,A02,A0207,A02070200,3483016,15,20250321154759,20250412,20250412,http://tong.visitkorea.or.kr/cms/resource/06/3483006_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/3483006_image3_1.jpg,Type3,126.8146355542,37.5810885136,6,20250325153326,1,4,02-2600-6634,강서봄빛페스타,11,500,EV,EV01,EV010200,,,"4월 12일, 강서구 대표 봄 축제이자 빛 축제인 강서봄빛페스타가 방화근린공원에서 개최된다.
어린이부터 어르신까지 남녀노소 누구나 참여할 수 있는 다채로운 프로그램과 화려한 점등행사, 감성을 자극하는 미래형 빛 전시까지 강서봄빛페스타에서 모두 만나볼 수 있다."
서울특별시 강서구 방화동,176 방화근린공원,7614.0,A02,A0207,A02070200,3487939,15,20250423133226,20250503,20250503,http://tong.visitkorea.or.kr/cms/resource/19/3495419_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/3495419_image3_1.jpg,Type3,126.8132078893,37.5816995274,6,20250604173545,1,4,02-2600-6975,강서어린이 동화축제,11,500,EV,EV01,EV010200,,,"다채로운 볼거리와 체험을 통해 어린이들에게 동화와 더 가까워 질 수 있는 기회를 마련하는 강서어린이동화축제는 매년 어린이날 경 하루 동안 개최되며 매년 1~2만명의 방문객이 찾는 서남부권 대표 어린이 행사이다.
오전 10시부터 한 시간 동안 진행되는 퍼레이드 행사에는 어린이들과 가족 모두가 동화 속 주인공이 되어 행진하며,  각 도서관별 동화 속 주제 퍼레이드, 대형 조형물 등 갖가지 볼거리를 제공한다. 개막 공연 및 체험부스, 놀이기구, 각 지역동아리 공연, 먹거리 부스 등 다양한 즐길거리가 있으며 부대행사로 포토존, 포토 부스 등이 운영된다."
서울특별시 성동구 뚝섬로13길 36 (성수동2가),"1층, R층, 8층",4785.0,A02,A0208,A02081300,3470412,15,20250123150126,20250204,20250212,http://tong.visitkorea.or.kr/cms/resource/99/3470399_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/3470399_image3_1.jpg,Type3,127.0580978177,37.5413336048,6,20250124134114,1,16,070-7841-7696,강원관광두레 팝업스토어,11,200,EV,EV03,EV030400,선택안함,선택안함,"강원관광두레의 매력을 성수에서 직접 경험할 수 있는 특별한 공간이다. 2/4~2/12 9일 간 진행되는 이 행사에서는 두레의 다양한 특산물과 그 특산물로 제작한 상품을 만나볼 수 있다. 1층에는 포토존이 마련되어 모든 방문객들이 와서 사진을 찍을 수 있다. 10층은 대기장소, 등록데스크, 및 강원관광두레 주민사업체 중 카페들이 개발한 음료를 취식할 수 있는 공간이다. 

방문객들은 사전 예약을 통해 강원관광두레의 상품을 응모할 기회를 얻고, 현장에서는 방 4곳에서 각각의 미션(게임)을 수행하여 추가 선물을 받을 수 있는 기회를 제공한다. 팝업스토어 내에서는 강원관광두레의 상품들이 오브제로 진열되며, 고객이 직접 체험할 수 있는 다양한 활동이 준비되어 있다. 또한, SNS 공유 이벤트를 통해 추가 럭키드로우를 얻는 풍성한 혜택을 누릴 수 있다. 강원관광두레의 문화를 성수에서 즐길 수 있는 이번 팝업스토어이다."
서울특별시 중구 청계천로 40 (다동),서울 하이커 그라운드,4521.0,A02,A0207,A02070200,3360113,15,20240905164646,20250905,20250914,http://tong.visitkorea.or.kr/cms/resource/32/3530432_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/32/3530432_image3_1.png,Type3,126.9816428989,37.568581843,6,20250902154745,1,24,02-554-6763,게임문화축제,11,140,EV,EV01,EV010600,선택안함,선택안함,게임을 매개로 모든 세대가 참여하고 소통할 수 있는 게임문화행사를 통해 게임의 문화적 가치를 확산하고 올바른 게임문화를 조성한다.
서울특별시 강서구 양천로 291 (마곡동),,7520.0,A02,A0207,A02070200,2490376,15,20170418024520,20250510,20250510,http://tong.visitkorea.or.kr/cms/resource/49/3495349_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/3495349_image3_1.jpg,Type3,126.8366643489,37.5722343802,6,20250604151049,1,4,"02-2659-2207, 02-2600-6581",겸재문화예술제,11,500,EV,EV01,EV010200,선택안함,선택안함,"겸재의 향기, 강서를 물들이다 <제9회 겸재문화예술제> 5월 10일, 강서구 대표 봄 축제인 겸재문화예술제가 마곡 어울림공원에서 개최된다. 올해로 20회를 맞은 겸재전국사생대회와 어린이부터 어르신까지 남녀노소 누구나 참여할 수 있는 다채로운 프로그램과 문화예술공연,  다양한 전시까지 겸재문화예술제에서 만나볼 수 있다."
서울특별시 종로구 사직로 161 (세종로),경복궁,3045.0,A02,A0207,A02070200,2648460,15,20200224192834,20251015,20251102,http://tong.visitkorea.or.kr/cms/resource/24/3349624_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/24/3349624_image3_1.png,Type3,126.9767375783,37.5760836609,6,20251023143000,1,23,1522-2295,경복궁 별빛야행,11,110,EV,EV01,EV010200,선택안함,선택안함,"고즈넉한 밤의 경복궁, 별 초롱을 앞세우고 궁의 특별한 장소들을 찾고, 미처 알지 못했던 경복궁의 새롭고 비밀스런 이야기들을 통해 별빛 가득한 추억들을 마주할 수 있다."
서울특별시 중구 태평로1가,1 서울 청계광장,4524.0,A02,A0207,A02070200,3495363,15,20250604151130,20250620,20250622,http://tong.visitkorea.or.kr/cms/resource/48/3495348_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/3495348_image3_1.jpg,Type3,126.977768233,37.5692566951,6,20250610132015,1,24,02-797-8760,경북 WOW(와)보이소,11,140,EV,EV01,EV010200,,,"경상북도 방문의 해를 맞이하여 서울 청계광장에서 진행되는 경북 WOW(와) 보이소는 경상북도의 특산물, 다양한 축제, 체험, 공연까지 한 자리에서 무료료 즐기는 페스타로 경상북도의 다채로운 매력에 빠져들게 한다. 쏟아지는 이벤트와 다채로운 컨텐츠, 경상북도의 관광 포인트로 가득 채운 축제이다."
서울특별시 노원구 동일로 지하1074 (공릉동),공릉역 2번 출구 일대,1840.0,A02,A0207,A02070200,3114588,15,20240423095534,20250607,20250608,http://tong.visitkorea.or.kr/cms/resource/14/3490514_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/3490514_image3_1.jpg,Type3,127.0730218414,37.6255296448,6,20250514165829,1,9,02-976-9110<br>02-2116-3488,경춘선 공릉숲길 커피축제,11,350,EV,EV01,EV010200,선택안함,선택안함,"서울시 로컬브랜드 사업의 일환으로 진행되는 제3회 경춘선 공릉숲길 커피축제(Coffee Trip 커피여행)는 경춘선숲길의 대표 로컬 자원인 커피를 주제로 하며, 20여개국 커피 생산국 커피문화 체험 및 로컬 커피를 즐길 수 있으며 디저트, 푸드 뿐만 아니라 세계커피대회, 로컬커피대회 등 커피 관련 프로그램 및 문화공연, 예술작품 전시 등 문화가 곁들여진 다채로운 프로그램으로 구성되었다."
서울특별시 노원구 동일로 1322-70 (상계동),,1757.0,A02,A0207,A02070200,2862358,15,20220929191631,20251017,20251116,http://tong.visitkorea.or.kr/cms/resource/35/3547735_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/3547735_image3_1.jpg,Type3,127.0657023804,37.6494961706,6,20251023143000,1,9,02-2289-3466,공공미술 빛조각축제 <노원 달빛산책>,11,350,EV,EV01,EV010600,선택안함,선택안함,"올해 6회를 맞은 달빛산책은 매년 100만 명 이상이 찾는 공공미술 빛조각축제이다. 10월 17일부터 11월 16일까지 매일 오후 5시 30분부터 밤 10시까지, 당현천 2km 구간이 야외 미술관으로 변신한다. 올해 주제는 모두의 달이며, 달이 가진 보편적 상징성을 통해 개인의 이야기가 공동체의 빛으로 확장되는 과정을 보여준다. 국내외 18팀의 아티스트가 참여해 30여 점의 빛조각과 미디어아트를 선보인다."
서울특별시 종로구 계동길 37 (계동),북촌문화센터,3059.0,A02,A0207,A02070200,3490789,15,20250513163721,20250521,20250531,http://tong.visitkorea.or.kr/cms/resource/74/3490774_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/3490774_image3_1.jpg,Type3,126.9867060298,37.5790529392,6,20250513164613,1,23,02-741-1033,공공한옥 밤마실,11,110,EV,EV01,EV010400,,,"도심 속 한옥에 드리운 청명한 기운을 느낄 수 있는 초하(初夏)의 계절, 북촌문화센터를 포함한 서울공공한옥 9개소에서는 시민들을 위해 5/21(수)부터 5/31(토)까지 열흘간 야간한옥을 일부 개방한다. 이번 축제에서는 마을의 옛길과 물길을 거닐며 지역민과 여행객, 남녀노소, 내외국인, 사회적배려대상자 등 누구나 누릴 수 있는 한옥문화의 장을 마련하였다. 특히 1년 중 양기가 가장 왕성한 날인 단오를 앞두고, 무더위가 오기 전 초여름을 만끽할 수 있는 저녁 나들이를 위해 다채로운 프로그램이 펼쳐진다. 서·북촌은 매년 다양한 이슈와 관심을 동반하며 역사문화자원을 확장하고 있다. 특히 최근 3년 사이, 엔데믹과 함께 찾아온 한국문화에 대한 글로벌 수요와 정치적 시국의 변화, 지역 주민의 정주권 보호 등 지역사회 문제에 대한 대안과 각별한 관심을 필요로 하고 있다. 서울공공한옥은 이러한 상황 속에서 들고나는 수많은 가치와 차이들을 포용하며, 색다른 한옥문화의 저변을 확대하고자 한다. 한옥을 방문하는 다양한 세대가 우리 고유의 유산을 매개로 함께 나래를 펼치는 밤 나들이를 통해 공공한옥의 문화자원을 만끽하는 소중한 만남을 기대한다."
서울특별시 관악구 낙성대로 77 (봉천동),,8799.0,A02,A0207,A02070100,2612274,15,20190722184803,20251017,20251019,http://tong.visitkorea.or.kr/cms/resource/75/3528275_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/75/3528275_image3_1.JPG,Type3,126.9587338341,37.4716399155,6,20251023143000,1,5,02-828-5767,관악강감찬축제,11,620,EV,EV01,EV010100,선택안함,선택안함,"관악강감찬축제는 고려 명장 강감찬 장군의 호국정신을 기리고자 개최되는 서울의 대표적인 역사 문화축제이자, 관악구민이 함께 만들고 즐기는 관악의 대표 축제이다. 강감찬축제는 1998년부터 이어 온 관악구 대표 전통문화축제 ‘관악산 철쭉제’와 1988년부터 이어 온 추모제향 ‘낙성대 인헌제’를 통합하여, 2016년 새롭게 시작되었다. 강감찬축제는 북두칠성의 네 번째 별 문곡성이 떨어진 곳에서 강감찬 장군이 탄생하였다는 낙성대, 장군의 시호를 딴 인헌동, 장군이 송도를 오갈 때 자주 들렀다는 정자가 있는 서원동 등 장군의 얼이 서린 문화유산을 배경으로 오늘날 우리들의 모습으로 다양한 프로그램을 진행한다. '시민 강감찬' 1000년 전, 낙성대에 떨어진 북두칠성의 네 번째 별 ‘문곡성’ 과거 찬란한 문곡성의 별빛이 1000년의 시간을 거슬러 오늘, 우리를 비춘다. 빛나는 별빛 아래 정성스레 오늘의 문화를 담아 내일에 전하는 역사 문화축제 관악강감찬축제가 그들의 삶 속으로 모두를 초대한다. 10월 셋째주. '강감찬의 잔치'에 이어, '시민 강감찬'이 시작된다. 2025년 관악강감찬축제는 시민으로서의 강감찬의 삶을 조명하고 오늘날 우리 곁에 살아 숨 쉬는 ‘또 다른 강감찬’을 찾아가는 여정을 담아낸 축제이다."
서울특별시 관악구 신림동 1642-7,별빛내린천,,A02,A0207,A02070200,2778088,15,20211123195534,20241111,20250209,http://tong.visitkorea.or.kr/cms/resource/04/3456404_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/3456404_image3_1.jpg,Type3,126.9276196866,37.4827825101,6,20241220172453,1,5,"02-879-5781, 02-2174-4550",관악별빛산책,11,620,EV,EV01,EV010200,선택안함,선택안함,"올 해로 네 번째 개최인 ‘관악별빛산책’은 서울시 자치구 내 하천을 이용한 유일한 조명축제이다. 총 3개월의 기간 동안 별빛내린천 봉림교부터 신림교 구간을 장식한다. 특히 올해 5월 준공이 완료된 수변테라스도 적극 활용하여 조명을 설치하였다. 올해 ‘관악별빛산책’은 ‘도심 속 별빛정원’이라는 부제로 따듯한 느낌을 주는 조명색과 조형물을 통해 별빛내린천을 장식하였다. 나비와 꽃이 장식된 메인게이트를 시작으로, 10m 상당의 대형트리와 은하수를 유영하는 듯한 황금마차 그리고 곰조형물을 설치하여 겨울의 차가운 공기와 상반되는 따듯한 전시 공간을 조성하였다. 또한 올해 처음 조명이 설치되는 수변테라스에는 소형트리를 설치하여 주민들이 잠시 쉬면서 숲 속 정원에 있는 듯한 느낌을 준다."
서울특별시 종로구 종로 272 (종로6가),9층,3198.0,A02,A0208,A02080100,3484037,15,20250327105214,20250403,20251225,http://tong.visitkorea.or.kr/cms/resource/34/3484034_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/3484034_image3_1.jpg,Type3,127.008107089,37.5708709408,6,20250327105917,1,23,02-580-3276,광무대 목요풍류,11,110,EV,EV02,EV020100,선택안함,선택안함,"광무대 목요풍류 서울시 동대문 종합시장 내 전통공연창작마루에서 열리는 상설공연으로 4월~12월 매주 목요일, 한국의 순수 전통공연예술 무대를 선보인다. 멋스럽게 계절을 타고 넘던 옛 조상들의 소리와 몸짓을 통해 옛 화랑의 풍류를 쫓아봅니다. 서울 도심, 흥인지문과 낙산 성곽이 보이는 공연장에서 펼쳐지는 기악, 성악, 무용, 연희 등 한국의 순수 전통공연예술 무대 매주 색다른 광무대만의 풍류로 여러분을 초대합니다."
서울특별시 종로구 세종대로 지하172 (세종로),서울 광화문 일대,3154.0,A02,A0207,A02070200,3520789,15,20250813163321,20250815,20250823,http://tong.visitkorea.or.kr/cms/resource/88/3520788_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/88/3520788_image3_1.png,Type3,126.9767821434,37.5716786179,6,20250822155603,1,23,044-202-5539,광복 80년 기념 빛 축제,11,110,EV,EV01,EV010600,,,"1945년 광복부터 80년간의 대한민국 역사를 '80개의 빛'으로 형상화하여 선열들의 희생정신과 오늘날 대한민국의 발전상을 표현한 축제로, 서울 광화문 일대 건물을 캔버스로 한 대형 미디어아트와 시민 참여형 인터랙티브 설치 미술 등을 통해 각기 다른 시대의 이야기들이 하나로 모여 통합된 대한민국의 위대한 서사를 완성한다."
서울특별시 영등포구 의사당대로 1 (여의도동),국회의사당 잔디마당,7233.0,A02,A0207,A02070200,3518539,15,20250807160008,20250814,20250814,http://tong.visitkorea.or.kr/cms/resource/37/3518537_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/3518537_image3_1.jpg,Type3,126.9166304856,37.529424118,6,20250807160250,1,20,010-8311-5791,광복 80년 전야제 - 대한이 살았다!,11,560,EV,EV01,EV010400,,,"조국 광복의 그날을 기억하며, 광복 80년 전야제 - 대한이 살았다!가 2025년 8월 14일 국회 잔디마당에서 개최된다. 대한민국 국회 X 국가보훈부 X 광복회가 공동 주최하는 '대한이 살았다!'에는 강산에, 거미, 다이나믹 듀오, 매드클라운, 메이트리X김형석, 10CM, VIVIZ, 알리, 크라잉넛, 폴킴, PSY 등이 출연한다."
